Name Col1,Name Col2,label CMYK_C,label CMYK_M,label CMYK_Y,label CMYK_K,,tint CMYK_C,tint CMYK_M,tint CMYK_Y,tint CMYK_K,RGB_R,RGB_G,RGB_B,HTML
P 67-3 C,P 67-3 CP,16.844434,36.539254,26.564431,3.599603,,15.919738,35.53521,28.334478,4.907301,100,100,100,56654b
P 171-13 C,P 171-13 CP,53.48745,50.691998,42.887008,27.710384,,51.378655,48.838025,43.352407,30.464637,100,100,100,56654b
P 178-13 C,P 178-13 CP,48.264286,37.802702,56.266117,31.865415,,46.584269,35.866332,56.937516,34.099337,100,100,100,56654b
P 44-12 C,P 44-12 CP,33.859769,52.315557,57.344931,35.431448,,32.050049,50.926983,58.048373,37.376973,100,100,100,56654b
P 92-16 C,P 92-16 CP,60.120547,100,0,47.158006,,59.070724,100,0,48.630503,100,100,100,56654b
P 42-9 C,P 42-9 CP,6.034943,17.521934,18.931869,0,,6.329443,16.963455,21.547265,0.004578,100,100,100,56654b
P 13-13 C,P 13-13 CP,32.855725,39.716181,59.198904,29.633021,,31.28252,38.126191,60.007632,31.546503,100,100,100,56654b
P 171-16 C,P 171-16 CP,61.89059,61.213094,51.892883,48.671702,,59.557486,59.121078,52.056152,51.247424,100,100,100,56654b
P 171-15 C,P 171-15 CP,59.540701,58.153659,48.296329,40.831617,,57.378501,56.261539,48.601511,43.465325,100,100,100,56654b
P 115-8 C,P 115-8 CP,97.821009,2.226291,0,0,,97.256428,2.290379,0,0,100,100,100,56654b
P 98-9 C,P 98-9 CP,34.35111,39.163807,9.190509,3.318837,,33.177692,38.161287,11.093309,4.641794,100,100,100,56654b
P 13-16 C,P 13-16 CP,44.005492,47.058824,67.943847,49.959564,,42.230868,45.342183,68.462652,51.778442,100,100,100,56654b
P 179-6 C,P 179-6 CP,28.384832,21.142901,19.359121,0.825513,,27.21599,19.786374,21.014725,2.409399,100,100,100,56654b
P 174-4 C,P 174-4 CP,37.155718,28.587776,21.852446,4.257267,,35.391775,26.883346,23.056382,6.625468,100,100,100,56654b
P 39-1 C,P 39-1 CP,9.675746,31.01854,34.395361,2.058442,,9.314107,30.164033,36.336309,2.847333,100,100,100,56654b
P 171-12 C,P 171-12 CP,50.763714,48.578623,41.774625,25.038528,,48.607615,46.643779,42.238498,27.850768,100,100,100,56654b
P 176-10 C,P 176-10 CP,60.213625,36.565194,46.439308,27.185473,,58.67399,34.488443,47.118333,29.613185,100,100,100,56654b
P 174-11 C,P 174-11 CP,61.004043,40.558481,33.719388,22.000457,,59.517813,38.788435,34.665444,24.33814,100,100,100,56654b
P 100-4 C,P 100-4 CP,40.619516,43.332571,3.588922,2.119478,,39.501029,42.455176,5.583276,3.398184,100,100,100,56654b
P 174-14 C,P 174-14 CP,65.075153,45.75265,39.395744,30.580607,,63.485163,43.907836,40.132752,32.990006,100,100,100,56654b
P 169-13 C,P 169-13 CP,46.402687,39.664301,43.060958,20.790417,,44.252691,37.521935,43.523309,23.703365,100,100,100,56654b
P 172-3 C,P 172-3 CP,23.355459,23.703365,20.488289,0.839246,,22.320898,22.46891,22.255284,2.343786,100,100,100,56654b
P 172-11 C,P 172-11 CP,54.814982,46.883345,42.296484,25.273517,,52.822155,44.994277,42.819867,28.012511,100,100,100,56654b
P 95-3 C,P 95-3 CP,31.859311,39.227894,8.157473,2.90837,,30.737773,38.275731,10.116731,4.11841,100,100,100,56654b
P 47-9 C,P 47-9 CP,7.031357,20.59968,20.294499,0,,7.249561,20.076296,22.832075,0.006104,100,100,100,56654b
P 66-11 C,P 66-11 CP,14.512856,40.514228,24.632639,3.576715,,13.614099,39.623103,26.460668,4.794385,100,100,100,56654b
P 175-15 C,P 175-15 CP,72.109562,43.915465,43.625543,42.413977,,70.814067,42.136264,44.568551,44.328985,100,100,100,56654b
P 174-2 C,P 174-2 CP,29.442284,24.504463,17.724881,1.287861,,28.107119,23.132677,19.307241,3.09453,100,100,100,56654b
P 1-7 C,P 1-7 CP,0.781262,0,83.86206,0,,0.917067,0,84.950024,0,100,100,100,56654b
P 112-7 C,P 112-7 CP,85.609215,17.384604,0,0,,84.516668,16.896315,0,0,100,100,100,56654b
P 44-10 C,P 44-10 CP,28.957045,51.355761,55.112535,30.270848,,27.196154,50.026703,55.872434,32.201114,100,100,100,56654b
P 178-14 C,P 178-14 CP,50.640118,40.173954,59.179062,37.135881,,48.915845,38.217747,59.797055,39.348438,100,100,100,56654b
P 64-11 C,P 64-11 CP,14.63798,36.98329,26.009002,3.051804,,13.815518,36.046389,27.884337,4.251163,100,100,100,56654b
P 171-14 C,P 171-14 CP,55.776304,53.693444,45.516136,32.399482,,53.524071,51.767761,45.825896,35.262075,100,100,100,56654b
P 53-10 C,P 53-10 CP,5.064469,27.714962,27.063403,0.112917,,5.081254,27.019149,29.352254,0.512703,100,100,100,56654b
P 173-10 C,P 173-10 CP,54.810405,40.453193,36.977187,20.109865,,52.9778,38.512245,37.666896,22.783245,100,100,100,56654b
P 13-15 C,P 13-15 CP,41.171893,45.526817,64.30915,42.742047,,39.444572,43.869689,64.911878,44.65858,100,100,100,56654b
P 177-1 C,P 177-1 CP,25.174335,18.912032,25.835049,1.104753,,24.373236,17.764553,27.631035,2.343786,100,100,100,56654b
P 86-16 C,P 86-16 CP,50.809491,67.734796,48.969254,51.429009,,48.940262,66.372168,49.764249,53.122759,100,100,100,56654b
P 28-11 C,P 28-11 CP,8.674754,27.631035,37.094682,1.681544,,8.433662,26.79942,39.034104,2.359045,100,100,100,56654b
P 32-12 C,P 32-12 CP,10.357824,46.268407,65.084308,19.385062,,9.439231,45.246053,66.210419,20.689708,100,100,100,56654b
P 172-14 C,P 172-14 CP,59.810787,52.60548,47.641718,34.029144,,57.555503,50.51499,47.881284,37.013811,100,100,100,56654b
P 31-1 C,P 31-1 CP,1.170367,9.724575,13.12581,0,,1.457237,9.011979,15.858701,0.001526,100,100,100,56654b
P 103-9 C,P 103-9 CP,37.024492,37.265584,6.288243,2.725261,,36.040285,36.397344,8.441291,3.788815,100,100,100,56654b
P 169-5 C,P 169-5 CP,23.736934,20.668346,23.67132,0.950637,,22.818342,19.484246,25.458151,2.304112,100,100,100,56654b
P 15-2 C,P 15-2 CP,5.137713,13.575952,31.149766,0.001526,,5.479515,12.977798,33.514917,0.001526,100,100,100,56654b
P 13-9 C,P 13-9 CP,21.321431,35.693905,58.982223,19.816892,,20.134279,34.317541,59.972537,21.463341,100,100,100,56654b
P 87-15 C,P 87-15 CP,52.283514,59.903866,44.850844,37.622645,,50.067902,58.252841,45.319295,40.102234,100,100,100,56654b
P 112-5 C,P 112-5 CP,60.549325,15.005723,0,0,,59.981692,14.573891,0,0,100,100,100,56654b
P 33-14 C,P 33-14 CP,30.894941,54.747844,57.956815,36.021972,,29.167619,53.476769,58.702981,37.845427,100,100,100,56654b
P 172-16 C,P 172-16 CP,66.933697,59.458303,52.317083,49.300373,,64.948499,57.499045,52.596325,51.65484,100,100,100,56654b
